# timestamp x y z qw qx qy qz
1.73981e+09 -0.0339831 0.0469937 -2.80904 0.99982 -0.00442231 0.00804032 0.0165782
1.73981e+09 -0.0480645 0.0519884 -3.53795 0.9998 -0.00445423 0.0102546 0.0165959
1.73981e+09 -0.178019 0.0787843 -5.05149 0.998284 -0.00892254 0.0147031 0.0559753
1.73981e+09 -0.219736 0.131428 -6.62892 0.998263 -0.00611646 0.0189548 0.0554493
1.73981e+09 -0.296703 0.158007 -8.24986 0.996614 -0.00711557 0.0215961 0.0790214
1.73981e+09 -0.33702 0.158128 -9.90452 0.99669 -0.00744488 0.0239395 0.0773331
1.73981e+09 -0.433569 0.202021 -11.5849 0.991789 -0.011291 0.0243255 0.125043
1.73981e+09 -0.454353 0.153615 -13.3102 0.991523 -0.0135688 0.0262425 0.126529
1.73981e+09 -0.454735 0.152311 -15.063 0.991185 -0.0140599 0.0274136 0.128851
1.73981e+09 -0.57997 0.189835 -18.6596 0.987898 -0.0149472 0.029672 0.151504
1.73981e+09 -0.561788 0.182378 -19.5575 0.987965 -0.0152835 0.0298233 0.151003
1.73981e+09 -0.60439 0.301911 -21.4299 0.984475 -0.014578 0.0293201 0.172446
1.73981e+09 -0.533511 0.465614 -23.2804 0.98458 -0.01165 0.0274368 0.172379
1.73981e+09 -0.439989 0.438822 -25.1464 0.981839 -0.0143839 0.025176 0.187487
1.73981e+09 -0.341623 0.216634 -27.0838 0.981743 -0.018729 0.0247066 0.187669
1.73981e+09 -0.323491 0.226245 -28.0564 0.982083 -0.0184408 0.0244389 0.185946
1.73981e+09 -0.382706 0.507822 -30.0141 0.974463 -0.0179858 0.0229377 0.222646
1.73981e+09 -0.521238 0.421719 -31.9839 0.975438 -0.0194087 0.0253429 0.217949
1.73981e+09 -0.675426 0.292124 -33.961 0.970086 -0.0233004 0.0271886 0.240106
1.73981e+09 -0.688228 0.45356 -35.9494 0.969814 -0.0210806 0.0272908 0.241397
1.73981e+09 -0.713677 0.483897 -36.9656 0.969858 -0.0204544 0.0277692 0.241219
1.73981e+09 -0.870055 0.77221 -38.9581 0.959397 -0.0206256 0.0270441 0.28
1.73981e+09 -0.910183 0.867442 -39.9548 0.958577 -0.0195044 0.0271148 0.282869
1.73981e+09 -0.955535 0.812497 -41.9318 0.958559 -0.0203948 0.0278781 0.282794
1.73981e+09 -1.14566 0.718729 -43.9059 0.948844 -0.0238461 0.0286892 0.313535
1.73981e+09 -1.18763 0.805452 -45.8557 0.948864 -0.0228944 0.0291606 0.313499
1.73981e+09 -1.40733 0.462496 -47.7958 0.937396 -0.0286234 0.0311369 0.345687
1.73981e+09 -1.42799 0.590087 -49.7282 0.937512 -0.0274531 0.0310659 0.345474
1.73981e+09 -1.493 0.876802 -51.6156 0.938521 -0.024987 0.0308917 0.342929
1.73981e+09 -1.49175 0.820278 -52.5893 0.939123 -0.0255745 0.0312192 0.341203
1.73981e+09 -1.74245 0.797467 -54.467 0.930114 -0.0272652 0.0323241 0.364828
1.73981e+09 -1.7993 1.31969 -56.3692 0.931015 -0.0227929 0.0313918 0.362913
1.73981e+09 -1.93258 1.25836 -58.2444 0.930308 -0.0231469 0.0327078 0.364583
1.73981e+09 -2.25097 0.439801 -60.1488 0.918747 -0.0304763 0.0364035 0.391983
1.73981e+09 -2.32045 0.672262 -61.9122 0.917208 -0.0286787 0.0363376 0.39571
1.73981e+09 -2.64066 0.702502 -63.7526 0.905078 -0.0293 0.0370886 0.422611
1.73981e+09 -2.82459 0.805997 -65.4316 0.904594 -0.0281123 0.0381375 0.423632
1.73981e+09 -3.03357 1.01372 -67.055 0.904629 -0.0264327 0.0390271 0.423585
1.73981e+09 -3.13722 1.41118 -68.7482 0.903979 -0.0233552 0.0386641 0.425185
1.73981e+09 -3.60586 1.12349 -70.3215 0.891644 -0.0252961 0.041116 0.450155
1.73981e+09 -3.7225 0.205417 -71.7769 0.891363 -0.0307259 0.0450189 0.450001
1.73981e+09 -3.82203 0.409556 -73.1309 0.890719 -0.0292712 0.0449698 0.451376
1.73981e+09 -4.06118 0.466914 -74.4183 0.8913 -0.0285325 0.0463969 0.450131
1.73981e+09 -4.05835 -0.252126 -75.6871 0.893724 -0.0330035 0.0486587 0.444749
1.73981e+09 -3.82863 -0.313194 -76.8227 0.878658 -0.0351622 0.0459576 0.473933
1.73981e+09 -3.0396 0.29263 -77.9611 0.880348 -0.034253 0.0397664 0.471417
1.73981e+09 -0.31201 0.558085 -79.546 0.879939 -0.0411359 0.02371 0.472708
1.73981e+09 2.89038 0.753215 -80.4948 0.87937 -0.0497967 0.00539857 0.473497
1.73981e+09 7.37695 0.982826 -81.1454 0.879984 -0.0617746 -0.0198853 0.470549
1.73981e+09 13.2852 1.04611 -81.2905 0.861166 -0.0833093 -0.0525082 0.498693
1.73981e+09 20.2494 1.12886 -80.7002 0.858137 -0.104566 -0.0901211 0.494515
1.73981e+09 28.6259 0.935372 -78.9501 0.851365 -0.131947 -0.13465 0.489528
1.73981e+09 37.9567 0.836616 -75.6878 0.841583 -0.162113 -0.185786 0.480562
1.73981e+09 47.5966 -0.397672 -70.9245 0.811032 -0.20909 -0.233554 0.493925
1.73981e+09 56.4068 -0.410684 -64.8767 0.794328 -0.240901 -0.286211 0.478637
1.73981e+09 64.197 -0.10453 -57.8732 0.774372 -0.269566 -0.337579 0.462301
1.73981e+09 70.536 -0.962714 -50.5737 0.751077 -0.302704 -0.379533 0.447447
1.73981e+09 75.7019 -0.678394 -43.1612 0.72709 -0.32714 -0.421168 0.432362
1.73981e+09 79.5095 -1.11655 -36.2533 0.706145 -0.349802 -0.455165 0.414514
